1964	6	7186	0	-1
7389	8	7400	0	-1
9622	9	9623	0	-1
8797	9	8798	0	-1
5250	3	5363	0	-1
3109	7	55	0	-1
7274	8	7445	0	-1
5264	3	5165	0	-1
7692	9	9536	1	-1
7389	8	7400	1	-1
5250	7	9	1	-1
1129	7	1130	1	-1
1373	0	155	1	-1
5375	3	5343	1	-1
2386	0	210	1	-1
5447	3	5363	1	-1
7274	8	7445	1	-1
3783	0	672	1	-1
8914	9	8915	2	-1
1579	0	252	2	-1
7085	5	7086	2	-1
3436	0	1614	2	-1
3146	3	5433	2	-1
7389	8	7400	2	-1
784	0	67	2	-1
7274	8	7445	2	-1
7085	5	7086	3	-1
3323	8	7400	3	-1
7389	8	7400	3	-1
7274	8	7573	3	-1
7498	8	7400	3	-1
3323	8	7445	3	-1
7274	8	7445	3	-1
1965	7	139	3	-1
7310	8	7400	3	-1
7085	5	7086	4	-1
8451	9	8452	4	-1
3323	8	7400	4	-1
7389	8	7400	4	-1
7274	8	7573	4	-1
823	8	7382	4	-1
802	0	538	4	-1
7498	8	7400	4	-1
568	3	5165	4	-1
6212	8	7400	4	-1
5447	7	205	4	-1
7310	8	7400	4	-1
7085	5	7086	5	-1
3323	8	7400	5	-1
7389	8	7400	5	-1
7274	8	7573	5	-1
823	8	7382	5	-1
7498	8	7400	5	-1
1985	9	8153	5	-1
3417	0	672	5	-1
6212	8	7400	5	-1
1228	8	7400	5	-1
5523	3	5691	5	-1
7310	8	7400	5	-1
7085	5	7086	6	-1
3323	8	7400	6	-1
7389	8	7400	6	-1
7274	8	7573	6	-1
823	8	7382	6	-1
726	0	727	6	-1
7498	8	7400	6	-1
1985	9	8153	6	-1
9957	9	9958	6	-1
7368	8	7400	6	-1
2301	0	677	6	-1
6212	8	7400	6	-1
1228	8	7400	6	-1
7335	8	7400	6	-1
7310	8	7400	6	-1
7085	5	7086	7	-1
3323	8	7400	7	-1
7389	8	7400	7	-1
7274	8	7573	7	-1
823	8	7382	7	-1
7498	8	7400	7	-1
8282	9	8283	7	-1
3742	0	538	7	-1
7368	8	7400	7	-1
1322	0	1323	7	-1
9047	9	7715	7	-1
6212	8	7400	7	-1
1228	8	7400	7	-1
3146	3	5343	7	-1
2798	0	111	7	-1
7310	8	7400	7	-1
7085	5	7086	8	-1
7282	8	7400	8	-1
3323	8	7400	8	-1
7322	7	359	8	-1
7389	8	7400	8	-1
5501	3	5191	8	-1
7274	8	7573	8	-1
823	8	7382	8	-1
7498	8	7400	8	-1
8282	9	8283	8	-1
7274	8	7400	8	-1
7368	8	7400	8	-1
1251	3	5433	8	-1
2095	0	233	8	-1
6212	8	7400	8	-1
1228	8	7400	8	-1
7310	8	7400	8	-1
7085	5	7086	9	-1
61	0	53	9	-1
7282	8	7400	9	-1
3323	8	7400	9	-1
7389	8	7400	9	-1
823	8	7382	9	-1
5787	3	5146	9	-1
7498	8	7400	9	-1
8282	9	8283	9	-1
8193	9	8194	9	-1
1145	0	357	9	-1
7274	8	7400	9	-1
7368	8	7400	9	-1
7367	8	7380	9	-1
6212	8	7400	9	-1
1372	0	646	9	-1
1228	8	7400	9	-1
7470	8	7400	9	-1
7310	8	7400	9	-1
7085	5	7086	10	-1
7282	8	7400	10	-1
7259	8	7380	10	-1
